iter	Passed	Remaining
0	0	766
1	1	691
2	1	653
3	2	622
4	3	625
5	3	615
6	4	606
7	4	601
8	5	610
9	6	603
10	6	598
11	7	600
12	7	600
13	8	594
14	8	588
15	9	588
16	10	585
17	10	586
18	11	582
19	11	585
20	12	583
21	13	580
22	13	582
23	14	578
24	14	577
25	15	573
26	15	574
27	16	575
28	17	574
29	17	572
30	18	571
31	18	567
32	19	565
33	19	561
34	20	559
35	20	557
36	21	556
37	22	562
38	22	560
39	23	559
40	23	557
41	24	556
42	25	557
43	25	554
44	26	552
45	26	550
46	27	548
47	27	546
48	28	547
49	28	545
50	29	543
51	29	542
52	30	543
53	31	547
54	31	545
55	32	545
56	32	544
57	33	543
58	33	541
59	34	539
60	34	538
61	35	537
62	36	536
63	36	535
64	37	534
65	37	533
66	38	533
67	38	532
68	39	531
69	39	531
70	40	532
71	41	532
72	41	532
73	42	532
74	43	531
75	43	530
76	44	530
77	44	530
78	45	530
79	46	529
80	46	529
81	47	529
82	47	525
83	48	525
84	48	525
85	49	524
86	49	524
87	50	522
88	50	521
89	51	521
90	52	520
91	52	519
92	53	519
93	53	518
94	54	517
95	54	516
96	55	515
97	55	514
98	56	513
99	56	512
100	57	511
101	58	511
102	58	510
103	59	509
104	59	508
105	60	507
106	60	506
107	61	505
108	61	504
109	62	504
110	62	503
111	63	503
112	64	503
113	64	503
114	65	502
115	65	502
116	66	500
117	66	500
118	67	500
119	68	500
120	68	499
121	69	498
122	69	497
123	70	497
124	71	497
125	71	497
126	72	495
127	72	495
128	73	495
129	73	494
130	74	493
131	75	493
132	75	494
133	76	493
134	76	493
135	78	496
136	78	495
137	79	494
138	79	493
139	80	494
140	80	493
141	81	491
142	81	491
143	82	491
144	83	492
145	84	492
146	84	491
147	85	490
148	85	489
149	86	489
150	86	488
151	87	487
152	88	487
153	88	486
154	89	486
155	89	485
156	90	485
157	90	484
158	91	483
159	92	483
160	92	481
161	92	480
162	93	479
163	93	478
164	94	477
165	94	477
166	95	476
167	96	475
168	96	474
169	97	473
170	97	472
171	98	472
172	98	472
173	99	472
174	100	472
175	100	471
176	101	471
177	101	470
178	102	470
179	103	469
180	103	468
181	104	467
182	104	466
183	105	466
184	105	465
185	106	464
186	106	463
187	107	463
188	107	462
189	108	461
190	108	461
191	109	460
192	109	459
193	110	458
194	110	458
195	111	457
196	112	456
197	112	456
198	113	455
199	113	454
200	114	454
201	114	453
202	115	452
203	115	452
204	116	453
205	117	453
206	118	452
207	118	451
208	119	450
209	119	449
210	120	448
211	120	448
212	121	447
213	121	446
214	121	445
215	122	444
216	122	443
217	123	442
218	123	441
219	124	440
220	124	440
221	125	439
222	125	438
223	126	437
224	126	436
225	127	435
226	127	435
227	128	434
228	128	433
229	129	432
230	129	432
231	130	431
232	130	430
233	131	430
234	132	429
235	132	429
236	133	429
237	133	428
238	134	427
239	134	427
240	135	426
241	136	426
242	136	425
243	137	424
244	137	424
245	138	423
246	138	422
247	139	422
248	139	421
249	140	420
250	140	419
251	141	419
252	141	418
253	142	417
254	142	416
255	143	416
256	143	415
257	144	414
258	144	414
259	145	413
260	145	412
261	146	412
262	146	411
263	147	410
264	147	409
265	148	409
266	148	408
267	149	407
268	149	407
269	150	406
270	150	405
271	151	404
272	151	404
273	152	403
274	152	402
275	153	402
276	153	401
277	154	400
278	154	400
279	155	399
280	155	398
281	156	397
282	156	397
283	157	396
284	157	395
285	158	395
286	158	394
287	159	393
288	159	393
289	160	392
290	160	391
291	161	391
292	161	390
293	162	389
294	162	389
295	163	388
296	163	387
297	164	387
298	164	386
299	165	385
300	165	385
301	166	384
302	166	383
303	167	383
304	167	382
305	168	381
306	168	381
307	169	380
308	169	379
309	170	379
310	170	378
311	171	377
312	171	377
313	172	376
314	172	375
315	173	375
316	173	374
317	174	374
318	175	374
319	175	373
320	176	373
321	176	372
322	177	371
323	177	371
324	178	370
325	179	370
326	179	370
327	180	369
328	181	369
329	181	369
330	182	368
331	182	367
332	183	367
333	183	366
334	184	366
335	184	365
336	185	364
337	185	364
338	186	363
339	187	363
340	187	362
341	188	362
342	188	361
343	189	360
344	189	360
345	190	359
346	190	359
347	191	358
348	192	358
349	192	357
350	193	357
351	193	357
352	194	357
353	195	356
354	195	355
355	196	355
356	196	354
357	197	353
358	197	353
359	198	352
360	199	352
361	199	351
362	200	350
363	200	350
364	200	349
365	201	348
366	201	348
367	202	347
368	202	347
369	203	346
370	204	346
371	204	345
372	205	345
373	206	344
374	206	344
375	207	343
376	207	342
377	208	342
378	208	341
379	209	341
380	209	340
381	210	339
382	210	339
383	211	338
384	211	337
385	212	337
386	212	336
387	213	336
388	213	335
389	214	334
390	214	334
